Date;BTC;ETH;DOGE;LTC;HEX
2021-08-13;44439.691406;3049.001221;0.264249;165.511780;0.137983
2021-08-14;47810.687500;3322.762695;0.286801;183.382401;0.148915
2021-08-15;47096.667969;3266.276123;0.294086;182.938919;0.155041
2021-08-16;47019.960938;3309.422119;0.340165;184.776001;0.160448
2021-08-17;45936.457031;3149.380371;0.319631;178.152649;0.163070
2021-08-18;44686.750000;3011.963623;0.299203;168.673431;0.173606
2021-08-19;44741.882813;3019.126953;0.303376;167.043762;0.190273
2021-08-20;46723.121094;3182.162598;0.317571;175.432495;0.179059
2021-08-21;49327.074219;3286.931641;0.327395;183.651459;0.174998
2021-08-22;48869.105469;3226.227295;0.317085;179.907410;0.187318
2021-08-23;49291.675781;3241.357422;0.314926;186.132385;0.180188
2021-08-24;49562.347656;3324.855469;0.318386;187.304749;0.179339
2021-08-25;47727.257813;3174.269775;0.289218;173.709732;0.181466
2021-08-26;49002.640625;3228.747314;0.292794;177.890701;0.184241
2021-08-27;46894.554688;3096.406006;0.268819;167.987854;0.196454
2021-08-28;49072.585938;3275.104492;0.294631;176.128830;0.229558
2021-08-29;48911.250000;3246.770996;0.285863;175.527191;0.236809
2021-08-30;48834.851563;3227.192627;0.281233;174.630814;0.221335
2021-08-31;47024.339844;3227.758057;0.271878;167.504593;0.243318
2021-09-01;47099.773438;3430.762451;0.278062;171.465179;0.253135
2021-09-02;48807.847656;3825.027832;0.294393;180.956390;0.264325
2021-09-03;49288.250000;3787.486572;0.294754;183.434875;0.282470
2021-09-04;50009.324219;3937.910156;0.296068;212.964844;0.286763
2021-09-05;49937.859375;3886.331055;0.299324;211.973526;0.351257
2021-09-06;51769.003906;3951.520752;0.314315;232.101456;0.355831
2021-09-07;52660.480469;3926.527588;0.308951;219.524597;0.400143
2021-09-08;46827.761719;3428.378174;0.254266;178.075943;0.405950
2021-09-09;45774.742188;3452.548340;0.250362;177.909744;0.453253
2021-09-10;46396.664063;3425.564941;0.252585;180.448349;0.466927
2021-09-11;44869.839844;3209.030518;0.239826;174.308334;0.462436
2021-09-12;45206.628906;3270.291748;0.241329;178.684616;0.451103
2021-09-13;46057.214844;3407.471924;0.250624;183.242447;0.409157
2021-09-14;44960.050781;3286.316406;0.236063;179.553421;0.363025
2021-09-15;47098.000000;3431.217285;0.240590;183.046188;0.388888
2021-09-16;48158.906250;3613.073730;0.247542;189.029327;0.390882
2021-09-17;47771.003906;3569.568115;0.242098;185.398529;0.392342
2021-09-18;47273.527344;3397.422852;0.239928;179.832581;0.419474
2021-09-19;48268.855469;3433.287842;0.241281;181.248032;0.486895
2021-09-20;47261.406250;3329.670654;0.233161;175.752609;0.478132
2021-09-21;43012.234375;2977.310547;0.208773;157.212692;0.443359
2021-09-22;40677.953125;2763.209229;0.200822;148.241119;0.412430
2021-09-23;43560.296875;3077.974365;0.224748;161.493057;0.421967
2021-09-24;44894.300781;3154.562012;0.224726;163.891281;0.472972
2021-09-25;42840.890625;2930.884766;0.209348;152.227646;0.474188
2021-09-26;42721.628906;2926.343018;0.208730;151.185623;0.463343
2021-09-27;43234.183594;3065.837891;0.205241;150.863251;0.450120
2021-09-28;42200.898438;2928.963379;0.200001;145.220261;0.434449
2021-09-29;41064.984375;2809.297607;0.196980;140.672012;0.395504
2021-09-30;41551.269531;2852.558838;0.198869;144.853760;0.406506
2021-10-01;43816.742188;3001.129395;0.204427;153.293655;0.396300
2021-10-02;48137.468750;3308.870361;0.222741;166.212250;0.457755
2021-10-03;47680.027344;3390.767578;0.218811;169.168259;0.417597
2021-10-04;48208.906250;3418.776367;0.221930;170.602402;0.418433
2021-10-05;49174.960938;3381.784424;0.241240;167.539154;0.410821
2021-10-06;51486.664063;3516.570313;0.252008;173.894760;0.385350
2021-10-07;55338.625000;3576.814453;0.254340;178.683075;0.377966
2021-10-08;53802.144531;3587.832764;0.243023;178.613983;0.383532
2021-10-09;53929.781250;3559.997803;0.243495;175.839157;0.406420
2021-10-10;54952.820313;3575.020508;0.246572;179.779053;0.428240
2021-10-11;54734.125000;3419.726807;0.229450;175.109528;0.422685
2021-10-12;57526.832031;3546.477783;0.231525;179.447281;0.403226
2021-10-13;56038.257813;3492.753662;0.226175;172.655090;0.381242
2021-10-14;57372.832031;3604.958984;0.232561;177.544495;0.365911
2021-10-15;57345.902344;3790.154297;0.232644;181.000214;0.367764
2021-10-16;61609.527344;3865.666504;0.233881;189.498306;0.328164
2021-10-17;60887.652344;3829.858887;0.237193;186.029968;0.293488
2021-10-18;61548.804688;3847.729980;0.237806;183.801147;0.284199
2021-10-19;62043.164063;3747.162842;0.247378;185.623901;0.267515
2021-10-20;64284.585938;3877.730957;0.245502;188.867249;0.319707
2021-10-21;66002.234375;4161.713379;0.254793;207.328445;0.299337
2021-10-22;62237.890625;4055.686523;0.242479;196.945007;0.282009
2021-10-23;60694.628906;3971.356445;0.244514;190.988831;0.313259
2021-10-24;61368.343750;4171.855957;0.251432;196.461807;0.332141
2021-10-25;60893.925781;4084.425781;0.275745;190.570648;0.325084
2021-10-26;63032.761719;4217.337891;0.264783;195.364334;0.300264
2021-10-27;60352.000000;4132.173340;0.255836;197.551788;0.279821
2021-10-28;58470.730469;3924.815430;0.237381;179.328629;0.253332
2021-10-29;60624.871094;4288.686523;0.299964;189.909271;0.250444
